nome,x,y
São Paulo,98.0, -147.0
Paraná,53.0, -178.0
Santa Catarina, 55.0, -226.0
Rio Grande do Sul, 14.0, -268.0
Mato Grosso do Sul,-11.0, -103.0
Rondônia,-150.0, 62.0
Acre,-264.0, 81.0
Amazonas,-185.0, 187.0
Roraima,-127.0, 293.0
Pará,28.0, 171.0
Amapá,46.0, 285.0
Tocantins,104.0, 74.0
Maranhão,149.0, 171.0
Rio Grande do Norte,306.0, 145.0
Paraíba,312.0, 121.0
Pernambuco, 287.0, 97.0
Alagoas,308.0, 75.0
Sergipe,290.0, 59.0
Bahia,208.0, 27.0
Minas Gerais,166.0, -78.0
Rio de Janeiro,192.0, -146.0
Mato Grosso,-25.0, 24.0
Goiás,81.0, -17.0
Distrito Federal,109.0, -29.0
Piauí,191.0, 111.0
Ceará,259.0, 157.0
Espírito Santo,232.0, -90.0





